r, lambda, epoch, N, ncs_res 
0.93554473,1.014472836,9,2,-459.3483294
0.956582858,1.031787056,9,2,-459.3221186
0.962093186,1.023223015,9,2,-459.3152881
0.899290082,1.026911015,9,2,-459.2480813
0.947643496,1.008218618,9,2,-459.1168678
0.910536775,1.01163702,9,2,-459.0588692
0.989971901,1.029426743,9,2,-459.0277618
0.929223207,1.030929103,9,2,-458.9395859
0.932489072,1.015068922,9,2,-458.8211263
0.883307968,1.010576823,9,2,-458.7562088
0.929064693,1.017701875,9,2,-458.746836
0.998863584,1.031721731,9,2,-458.7393368
0.859159893,1.016301784,9,2,-458.7305834
0.884291669,1.003221457,9,2,-458.6703182
0.893200454,1.017075446,9,2,-458.5471538
0.966025631,1.014135335,9,2,-458.4764103
0.877689525,1.005680871,9,2,-458.4693829
0.944938298,1.01615123,9,2,-458.3772973
0.955877096,1.023996372,9,2,-458.3224394
0.995920736,1.008262981,9,2,-458.3066363
0.923861301,1.008764355,9,2,-458.2968089
0.893739757,1.018221422,9,2,-458.126385
0.922094529,1.021071016,9,2,-458.0768315
0.908715395,1.005530257,9,2,-457.9875185
0.921566974,1.011946,9,2,-457.972924
0.88619336,1.029181919,9,2,-457.9642923
0.995307685,1.009711687,9,2,-457.9378891
0.949071451,1.001262106,9,2,-457.9145528
0.997003647,1.025197632,9,2,-457.8081642
0.880452588,1.020541122,9,2,-457.723
0.899203305,1.015482927,9,2,-457.5991448
0.900571661,1.025618217,9,2,-457.4251079
0.880638236,1.018552189,9,2,-457.3781984
0.877463398,1.024710245,9,2,-457.1684647
0.876611136,1.005678064,9,2,-457.1487581
0.933229332,1.021214323,9,2,-457.1411256
0.970634876,1.026378887,9,2,-457.0716504
0.857750319,1.018586661,9,2,-456.9167882
0.888137452,1.02375661,9,2,-456.8472025
0.943959985,1.000744237,9,2,-456.8400738
0.888124141,1.022526485,9,2,-456.7838402
0.866407814,1.005912902,9,2,-456.7265836
0.919784196,1.024445366,9,2,-456.6953883
0.904092825,1.018302945,9,2,-456.5388855
0.976846583,1.010259144,9,2,-456.481819
0.94375405,1.030865476,9,2,-456.4305579
0.854417867,1.027280255,9,2,-456.3201863
0.963653556,1.011015759,9,2,-456.2160404
0.985055627,1.018203973,9,2,-456.1978386
0.935683826,1.020933332,9,2,-456.1267428
0.958594361,1.023396067,9,2,-456.0623556
0.932650117,1.016766689,9,2,-456.0390847
0.92129084,1.028076018,9,2,-456.0169625
0.895324144,1.010834695,9,2,-455.8370638
0.911830517,1.004894526,9,2,-455.7409183
0.997627816,1.025806829,9,2,-455.4234265
0.886548907,1.026902867,9,2,-455.1104369
0.892552601,1.030718016,9,2,-455.0003076
0.915750823,1.014691413,9,2,-454.9826115
0.988376815,1.02242017,9,2,-454.457869
0.853151227,1.013445536,9,2,-454.3311506
0.928349325,1.034014164,9,2,-454.2630005
0.868247677,1.033762476,9,2,-454.2459786
0.900620301,1.012870529,9,2,-454.0887615
0.896780278,1.023054753,9,2,-454.0553405
0.938327814,1.006776792,9,2,-453.8926285
